FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine1,AddressLine2,AddressLine3,AddressLine4,PostCode,RatingValue,RatingKey,RatingDate,HygieneScore,StructuralScore,ConfidenceInManagementScore,Latitude,Longitude
244491,11/00257/MIXED,@ Mays Cafe,Other catering premises,7841,Level 1,2 Holly Court,High Street,Midsomer Norton,BA3 2DB,3,fhrs_3_en-GB,2013-11-19,10,10,10,51.28568400000000,51.28568400000000
204954,15456/9111/3/C01,3-2-4 Play Group,Hospitals/Childcare/Caring Premises,5,Chandag Infants School,Chandag Road,Keynsham,"",BS31 1PQ,Exempt,fhrs_exempt_en-GB,2014-02-06,"","","",51.40939300000000,51.40939300000000
204072,10/00089/MIXED,4 West Cafe,School/college/university,7845,4 West Cafe,4 University Of Bath Campus,Claverton Down,Bath,BA2 7BT,5,fhrs_5_en-GB,2012-10-17,0,5,0,51.38045000000000,51.38045000000000
204512,09/00065/MIXED,55a North Road,Hotel/bed & breakfast/guest house,7842,55A North Road,Combe Down,Bath,Bath And North East Somerset,BA2 5DF,5,fhrs_5_en-GB,2012-09-10,5,5,5,51.36177800000000,51.36177800000000
204684,11/00094/MIXED,7 Day Catering Ltd,Restaurant/Cafe/Canteen,1,Sainsbury's Supermarket Limited,170 Frome Road,Odd Down,Bath,BA2 5RF,5,fhrs_5_en-GB,2013-08-09,5,0,0,51.35600900000000,51.35600900000000
204117,16637/9311/2/000,A J Wyatt,Retailers - other,4613,Stowey House Farm,The Street,Stowey,Bristol,BS39 5TQ,Exempt,fhrs_exempt_en-GB,2014-03-10,"","","",51.33339200000000,51.33339200000000
204430,07120/0002/0/000,Abbey Ales Limited,Manufacturers/packers,7839,Abbey Ales,2 Lansdown Road,City Centre,Bath,BA1 5EE,5,fhrs_5_en-GB,2012-03-19,5,5,5,51.38918600000000,51.38918600000000
520684,12/00199/MIXED,Abbey Rectory Bed And Breakfast,Hotel/bed & breakfast/guest house,7842,The Abbey Rectory  Redwood House,Trossachs Drive,Bathwick,Bath,BA2 6RP,5,fhrs_5_en-GB,2013-03-12,5,5,5,51.38995400000000,51.38995400000000
204695,13950/0097/0/000,Abbey Rise,Hotel/bed & breakfast/guest house,7842,97 Wells Road,Lyncombe,Bath,"",BA2 3AN,4,fhrs_4_en-GB,2012-08-31,5,5,10,51.37675700000000,51.37675700000000
203954,05/00027/FOOD,Abbot House,Hotel/bed & breakfast/guest house,7842,168 Newbridge Road,Newbridge,Bath,"",BA1 3LE,5,fhrs_5_en-GB,2013-09-16,5,5,5,51.38694700000000,51.38694700000000
